date,venue,rest_count,stay_count,rest_revenue,stay_revenue,addrest_revenue,addperson_revenue,fnb_revenue,other_revenue,note,created_at,checkin_hours,checkout_hours
2025-01-11,jiati,8,0,10840,0,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-24,jiati,8,3,8110,9297,0,0,198,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-25,jiati,5,1,5000,3399,0,0,220,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-26,jiati,7,3,7960,7797,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-27,jiati,3,1,3240,2799,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-28,jiati,1,0,1080,0,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-29,jiati,4,3,4220,10097,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-30,jiati,6,15,6380,47185,1100,0,0,300,歷史資料匯入,2026-04-30 10:46:17,,
2025-01-31,jiati,10,18,10450,62182,2750,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-01,jiati,3,9,3240,31391,4400,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-02,jiati,7,4,7560,11496,3300,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-03,jiati,9,4,9420,11296,1100,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-04,jiati,4,2,4620,6098,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-05,jiati,15,2,17200,6798,1100,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-06,jiati,19,2,19440,5598,1100,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-07,jiati,9,5,9820,15495,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-08,jiati,15,7,15700,23193,3850,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-09,jiati,6,1,6480,2599,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-10,jiati,9,7,9520,22692,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-11,jiati,13,7,13340,17793,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-12,jiati,6,4,6480,12996,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-13,jiati,11,1,11780,2799,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-14,jiati,12,7,12560,21693,1100,0,2040,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-15,jiati,10,22,10800,74978,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-16,jiati,8,3,8640,7097,1100,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-17,jiati,10,7,10300,19393,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-18,jiati,11,2,12130,5398,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-19,jiati,9,4,9120,12096,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-20,jiati,5,3,5000,6397,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-21,jiati,6,7,6280,21493,0,0,350,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-22,jiati,10,11,10024,35077,550,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-23,jiati,18,6,19290,15694,3850,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-24,jiati,9,9,9520,22591,550,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-25,jiati,9,3,9320,7297,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-26,jiati,7,8,7560,25692,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-27,jiati,15,7,16200,20193,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-02-28,jiati,8,26,8890,86374,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-01,jiati,14,14,16420,45886,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-02,jiati,7,4,7360,8796,1100,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-03,jiati,8,5,8740,10995,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-04,jiati,11,9,11780,21391,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-05,jiati,13,8,15390,17692,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-06,jiati,14,10,15120,26190,1100,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-07,jiati,14,12,13784,29888,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-08,jiati,11,18,10912,43782,550,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-09,jiati,6,8,5878,16680,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-10,jiati,14,6,12432,12194,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-11,jiati,7,14,6016,27386,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-12,jiati,8,10,7104,18390,3300,0,600,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-13,jiati,13,10,11544,19790,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-14,jiati,11,13,9268,32687,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-15,jiati,10,20,9414,55368,2750,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-16,jiati,8,8,8046,15992,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-17,jiati,10,14,8880,27286,550,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-18,jiati,10,15,8780,29485,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-19,jiati,6,18,5778,33782,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-20,jiati,16,12,16192,23888,2200,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-21,jiati,13,15,12236,35785,0,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-22,jiati,10,18,8972,47208,550,0,400,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-23,jiati,7,14,6208,27286,550,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
2025-03-24,jiati,13,13,12328,24887,1650,0,0,0,歷史資料匯入,2026-04-30 10:46:17,,
